AtcoCode,TiplocCode,CrsCode,StationName,StationNameLang,GridType,Easting,Northing,CreationDateTime,ModificationDateTime,RevisionNumber,Modification
9100PENZNCE,PENZNCE,PNZ,Penzance Rail Station,,U,147588,30599,,,,
9100STIVES,STIVES,SIV,St Ives (Cornwall) Rail Station,,U,151947,40127,,,,
9100CARBISB,CARBISB,CBB,Carbis Bay Rail Station,,U,152930,38745,,,,
9100STERTH,STERTH,SER,St Erth Rail Station,,U,154150,35730,,,,
9100LELANTS,LELANTS,LTS,Lelant Saltings Rail Station,,U,154430,36640,,,,
9100LELANT,LELANT,LEL,Lelant Rail Station,,U,154770,37220,,,,
9100HAYLE,HAYLE,HYL,Hayle Rail Station,,U,155970,37325,,,,
9100CBORNE,CBORNE,CBN,Camborne Rail Station,,U,164830,39696,,,,
9100ARISAIG,ARISAIG,ARG,Arisaig Rail Station,,U,166400,786700,,,,
9100MLAIG,MLAIG,MLG,Mallaig Rail Station,,U,167560,797060,,,,
9100MORAR,MORAR,MRR,Morar Rail Station,,U,167800,793000,,,,
9100REDRUTH,REDRUTH,RED,Redruth Rail Station,,U,170040,42009,,,,
9100BEASDAL,BEASDAL,BSL,Beasdale Rail Station,,U,170900,785000,,,,
9100KYLELSH,KYLELSH,KYL,Kyle of Lochalsh Rail Station,,U,176247,827123,,,,
9100LCHALRT,LCHALRT,LCL,Lochailort Rail Station,,U,176900,782600,,,,
9100DUIRNSH,DUIRNSH,DRN,Duirinish Rail Station,,U,177845,831521,,,,
9100PRYN,PRYN,PYN,Penryn Rail Station,,U,177900,34710,,,,
9100PERANWL,PERANWL,PRW,Perranwell Rail Station,,U,178080,39810,,,,
9100PLOCKTN,PLOCKTN,PLK,Plockton Rail Station,,U,179450,832950,,,,
9100PENMERE,PENMERE,PNM,Penmere Rail Station,,U,179835,32360,,,,
9100FALMTHT,FALMTHT,FMT,Falmouth Town Rail Station,,U,181130,32085,,,,
9100DUNCRAG,DUNCRAG,DCG,Duncraig Rail Station,,U,181207,833239,,,,
9100NEWQUAY,NEWQUAY,NQY,Newquay Rail Station,,U,181590,61770,,,,
9100TRURO,TRURO,TRU,Truro Rail Station,,U,181667,44924,,,,
9100FALMTHD,FALMTHD,FAL,Falmouth Docks Rail Station,,U,181777,32322,,,,
9100QNTRLDW,QNTRLDW,QUI,Quintrell Downs Rail Station,,U,184890,60405,,,,
9100OBAN,OBAN,OBN,Oban Rail Station,,U,185795,729888,,,,
9100STRMFRY,STRMFRY,STF,Stromeferry Rail Station,,U,186467,834667,,,,
9100GLNFNNN,GLNFNNN,GLF,Glenfinnan Rail Station,,U,189870,780970,,,,
9100MLFDHVN,MLFDHVN,MFH,Milford Haven Rail Station,,U,190026,206183,,,,
9100STCLMBR,STCLMBR,SCR,St Columb Road Rail Station,,U,191100,59560,,,,
9100CONNELF,CONNELF,CON,Connel Ferry Rail Station,,U,191470,734050,,,,
9100ATADALE,ATADALE,ATT,Attadale Rail Station,,U,192456,839125,,,,
9100JHNSTND,JHNSTND,JOH,Johnston (Pembrokeshire) Rail Station,,U,193300,210700,,,,
9100STCN,STCN,STC,Strathcarron Rail Station,,U,194231,842124,,,,
9100FGDHGWK,FGDHGWK,FGW,Fishguard & Goodwick Rail Station,,U,194535,238200,,,,
9100FGDHBR,FGDHBR,FGH,Fishguard Harbour Rail Station,,U,195200,239000,,,,
9100HAVRFDW,HAVRFDW,HVF,Haverfordwest Rail Station,,U,196000,215700,,,,
9100PEMBRKD,PEMBRKD,PMD,Pembroke Dock Rail Station,,U,197040,203550,,,,
9100RCHE,RCHE,ROC,Roche Rail Station,,U,199040,61460,,,,
9100PEMBROK,PEMBROK,PMB,Pembroke Rail Station,,U,199160,201130,,,,
9100LCHESDE,LCHESDE,LCS,Locheilside Rail Station,,U,199500,778600,,,,
9100ACHHSHL,ACHHSHL,ACH,Achnashellach Rail Station,,U,200290,848440,,,,
9100TAYNULT,TAYNULT,TAY,Taynuilt Rail Station,,U,200340,731220,,,,
9100LAMPHEY,LAMPHEY,LAM,Lamphey Rail Station,,U,201400,200400,,,,
9100CLARBRD,CLARBRD,CLR,Clarbeston Road Rail Station,,U,201500,220940,,,,
9100STAUSTL,STAUSTL,SAU,St Austell Rail Station,,U,201611,52565,,,,
9100BUGLE,BUGLE,BGL,Bugle Rail Station,,U,201670,59335,,,,
9100LUXULYN,LUXULYN,LUX,Luxulyan Rail Station,,U,204805,58070,,,,
9100LCEILOB,LCEILOB,LHE,Loch Eil Outward Bound Rail Station,,U,205500,778300,,,,
9100STRNRR,STRNRR,STR,Stranraer Rail Station,,U,206200,561400,,,,
9100MNORBER,MNORBER,MRB,Manorbier Rail Station,,U,207000,199400,,,,
9100PARR,PARR,PAR,Par Rail Station,,U,207700,54100,,,,
9100FLSCRHN,FLSCRHN,FOC,Falls of Cruachan Rail Station,,U,207990,726750,,,,
9100CORPACH,CORPACH,CPA,Corpach Rail Station,,U,209680,776720,,,,
9100FRTWLM,FRTWLM,FTW,Fort William Rail Station,,U,210531,774186,,,,
9100LSTWTHL,LSTWTHL,LOS,Lostwithiel Rail Station,,U,210660,59765,,,,
9100BODMNPW,BODMNPW,BOD,Bodmin Parkway Rail Station,,U,211030,64058,,,,
9100BANAVIE,BANAVIE,BNV,Banavie Rail Station,,U,211300,776700,,,,
9100PNALLY,PNALLY,PNA,Penally Rail Station,,U,211820,199080,,,,
9100CLYNDRW,CLYNDRW,CUW,Clunderwen Rail Station,,U,211900,219300,,,,
9100NRBERTH,NRBERTH,NAR,Narberth Rail Station,,U,212050,214710,,,,
9100LOCHAWE,LOCHAWE,LHA,Loch Awe Rail Station,,U,212380,727460,,,,
9100SDRSFOT,SDRSFOT,SDF,Saundersfoot Rail Station,,U,212460,206090,,,,
9100KILGETY,KILGETY,KGT,Kilgetty Rail Station,,U,212600,207200,,,,
9100TENBY,TENBY,TEN,Tenby Rail Station,,U,212940,200600,,,,
9100DLMALLY,DLMALLY,DAL,Dalmally Rail Station,,U,215980,727210,,,,
9100ACHNSHN,ACHNSHN,ACN,Achnasheen Rail Station,,U,216403,858519,,,,
9100GIRVAN,GIRVAN,GIR,Girvan Rail Station,,U,219030,598380,,,,
9100WEMYSSB,WEMYSSB,WMS,Wemyss Bay Rail Station,,U,219360,668550,,,,
9100WHLAND,WHLAND,WTL,Whitland Rail Station,,U,219900,216500,,,,
9100LARGS,LARGS,LAR,Largs Rail Station,,U,220344,659215,,,,
9100INVERKP,INVERKP,INP,Inverkip Rail Station,,U,220530,671840,,,,
9100WKILBRD,WKILBRD,WKB,West Kilbride Rail Station,,U,220870,648430,,,,
9100FAIRLIE,FAIRLIE,FRL,Fairlie Rail Station,,U,221030,654640,,,,
9100SPEANBD,SPEANBD,SBR,Spean Bridge Rail Station,,U,222120,781430,,,,
9100ARDRSHB,ARDRSHB,ADS,Ardrossan Harbour Rail Station,,U,222540,642090,,,,
